decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-17.466667,145.483333,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,c5ffbf72-3868-4583-84bf-9667508567f2,Australian Tropical Herbarium (CNS) AVH data
-17.466667,145.483333,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,19283f98-91c6-4b8e-b2cf-4bd444088ba9,Australian Tropical Herbarium (CNS) AVH data
-17.466667,145.483333,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,f8068e29-0f11-448e-a4b5-a85905e976c7,Australian Tropical Herbarium (CNS) AVH data
-17.466667,145.483333,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,f18a1202-1f66-49f4-a0e9-034b85de0714,Australian Tropical Herbarium (CNS) AVH data
-17.466667,145.483333,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,c07c13e7-2f81-49a2-b48b-f0bbafa2ba14,Australian Tropical Herbarium (CNS) AVH data
-17.466667,145.466667,1978-09-20T14:00:00Z,Calophyllum costatum,Red Touriga,f49e05d1-b592-418b-944b-a397605af853,Centre for Australian National Biodiversity Research (CANB) AVH data
-17.466667,145.466667,1978-09-20T14:00:00Z,Calophyllum costatum,Red Touriga,5b7bdb1b-b767-496b-9bb8-c2022169610e,Centre for Australian National Biodiversity Research (CANB) AVH data
-17.466667,145.466667,1978-09-20T14:00:00Z,Calophyllum costatum,Red Touriga,f5ff8377-95e7-4afc-a8c3-110d610b3e62,Centre for Australian National Biodiversity Research (CANB) AVH data
-17.46652,145.722771,2001-10-25T14:00:00Z,Faradaya splendida,Potato Vine,e104f15a-b295-4004-b48b-c7a5c2357b26,BRI AVH Data and Images
-17.46652,145.722771,2001-10-25T14:00:00Z,Corynocarpus cribbianus,Cribwood,432bcc4e-a21b-4054-992b-20f1a3bf5294,BRI AVH Data and Images
-17.4637985,145.4686267,1978-09-20T14:00:00Z,Calophyllum costatum,Red Touriga,6817fdae-eb13-450d-b10a-a7e38cffa652,Northern Territory Herbarium (DNA) AVH data
-17.4625,145.743611,1997-10-26T14:00:00Z,Beilschmiedia oligandra,Dogwood,4c758ed8-4018-4975-af3f-30f983c35db7,BRI AVH Data and Images
-17.460464,145.755919,2020-12-06T02:13:00Z,Cryptocarya pleurosperma,Poison Laurel,b6bb8484-fa5f-419d-9aa9-1b143a2ec720,iNaturalist Australia
-17.458333,145.475,1992-04-01T14:00:00Z,Calophyllum costatum,Red Touriga,9f21bf5a-7a5b-4aaa-9aa2-b734dc28ad39,BRI AVH Data and Images
