decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-18.828897,145.804404,2011-02-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,65741c41-53dc-4770-82c6-afc5aaab233e,WildNet - Queensland Wildlife Data
-18.82887,145.84147,2016-01-11T22:00:00Z,Casuarius casuarius,Southern Cassowary,3d0a65e4-469d-4bea-bccf-23c49a6f1d2f,eBird Australia
-18.804934,145.907361,2010-10-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,55e4316e-f0d9-4b1f-90f9-fd1c3193a4b3,WildNet - Queensland Wildlife Data
-18.803092,145.908008,2022-08-12T05:54:00Z,Casuarius casuarius,Southern Cassowary,6249840b-0b94-4728-b23d-57afb5eaa569,eBird Australia
-18.796348,145.905652,2010-10-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,76bcef92-2459-441b-92b8-54b0e4e69854,WildNet - Queensland Wildlife Data
-18.649169,145.864593,2006-07-25T14:00:00Z,Casuarius casuarius,Southern Cassowary,fd36292b-7404-4a8e-ae72-b0b91c028365,WildNet - Queensland Wildlife Data
-18.648456,145.872143,2005-04-03T14:00:00Z,Casuarius casuarius,Southern Cassowary,72d4a5ac-de24-4968-984f-35a72cb2cf63,WildNet - Queensland Wildlife Data
-18.648091,145.864145,2006-07-24T14:00:00Z,Casuarius casuarius,Southern Cassowary,639e0fa5-fc12-44e2-95b4-0d7044d9694c,WildNet - Queensland Wildlife Data
-18.648091,145.864145,2006-07-25T14:00:00Z,Casuarius casuarius,Southern Cassowary,00fadaa4-1034-40a2-8ffe-8205d36c03ad,WildNet - Queensland Wildlife Data
-18.647459,145.873174,2006-07-26T14:00:00Z,Casuarius casuarius,Southern Cassowary,be046328-9009-4355-8673-b353fefaabcf,WildNet - Queensland Wildlife Data
-18.64625,145.864565,2006-06-13T14:00:00Z,Casuarius casuarius,Southern Cassowary,39fd250a-fb87-4e63-9efd-a63a35926daa,WildNet - Queensland Wildlife Data
-18.644293,145.862432,1983-07-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,19713b2a-5f8a-4064-8c17-23ae5e54729e,eBird Australia
-18.642962,145.873763,2006-07-18T14:00:00Z,Casuarius casuarius,Southern Cassowary,ca64072d-5a17-40f0-9628-dc079402a9d3,WildNet - Queensland Wildlife Data
-18.64202,145.859938,2009-08-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,8ae95d70-85a2-47cf-a420-13cfb4ac712e,WildNet - Queensland Wildlife Data
-18.641595,145.859846,2006-07-25T14:00:00Z,Casuarius casuarius,Southern Cassowary,cf1015f3-c614-436a-a4aa-7145efaf77ca,WildNet - Queensland Wildlife Data
-18.641231,146.034406,2011-06-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,fe4e3a9a-4905-4745-9cee-3460027959f1,WildNet - Queensland Wildlife Data
