decimalLatitude,decimalLongitude,eventDate,species,recordID,dataResourceName,vernacularName
-17.016667,145.833333,1987-12-02T14:00:00Z,Elaeocarpus bancroftii,7f2c6f95-bd43-4ae6-929f-f1e664d6bbf9,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17.016633,145.633278,2022-10-18T05:06:00Z,Syzygium cormiflorum,cdce9fc4-ff98-436e-902f-12eb1e6828dc,iNaturalist Australia,Watergum
-17.006798,145.592771,1975-03-24T14:00:00Z,Syzygium cormiflorum,67b99dfd-e425-416c-b3c4-3f2f009b697d,BRI AVH Data and Images,Watergum
-17.006798,145.676104,1972-12-06T14:00:00Z,Faradaya splendida,e3f64469-fca2-4813-b47c-799a1b476d70,BRI AVH Data and Images,Glory Vine
-17.006798,145.892771,1975-10-27T14:00:00Z,Syzygium cormiflorum,d149f55c-8669-44d6-a8be-f0c5ff2f5be2,BRI AVH Data and Images,Watergum
-17.006798,145.592771,1972-10-31T14:00:00Z,Syzygium kuranda,6b82dbbf-09d6-4998-b3e5-709827ec0302,BRI AVH Data and Images,Cherry Penda
-17.006798,145.842771,1976-09-20T14:00:00Z,Syzygium cormiflorum,ba256ba3-1cc5-4b1f-89d8-cc9d35da1d16,BRI AVH Data and Images,Watergum
-17.006798,145.676104,1972-12-06T14:00:00Z,Prunus turneriana,2ddc00f0-feb3-4165-b628-82d48b0627fc,BRI AVH Data and Images,Almondbark
-17.006798,145.842771,1975-12-21T14:00:00Z,Elaeocarpus bancroftii,b4552ae1-b3bb-451c-9cc0-3b03bd26a0dd,BRI AVH Data and Images,Quandong
-17.006798,145.842771,1976-11-24T14:00:00Z,Syzygium cormiflorum,4ff4e397-1095-4093-b498-28fa8c63fd3d,BRI AVH Data and Images,Watergum
-17.006798,145.842771,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,534cd163-8198-45fd-98df-8377228d35b0,BRI AVH Data and Images,Quandong
-17.006798,145.592771,1975-12-02T14:00:00Z,Syzygium cormiflorum,a861b46e-4cf5-4119-b6bb-c00c04e69e70,BRI AVH Data and Images,Watergum
-17.006798,145.592771,1972-04-03T14:00:00Z,Elaeocarpus bancroftii,10d5e3b5-a7a4-4abc-8d24-3f0a25119598,BRI AVH Data and Images,Quandong
-17.006798,145.842771,1975-12-21T14:00:00Z,Cryptocarya oblata,8b7613f8-208a-4843-85a0-75411fe0d8cc,BRI AVH Data and Images,Bolly Silkwood
-17.005512,145.718919,2020-10-25T05:55:00Z,Faradaya splendida,7494b719-d751-4514-9b47-65773ac38083,iNaturalist Australia,Glory Vine
-17,145.833333,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,c35b286c-9bef-44ca-b629-56f89d223a8d,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1972-10-31T14:00:00Z,Syzygium kuranda,7f614dae-e1c1-419b-a521-32bc02a292d2,Australian Tropical Herbarium (CNS) AVH data,Cherry Penda
-17,145.833333,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,15c25ae5-4a24-4247-aa6e-a723d48a4c88,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,8e0aa4ca-4c62-422a-a9b9-b916c5da9434,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1975-07-29T14:00:00Z,Elaeocarpus bancroftii,b28cef45-c0d8-437c-b987-10e9cb87de65,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.8333,1976-09-20T14:00:00Z,Syzygium cormiflorum,ff42014d-738f-4341-904a-ada3818d62b7,NSW AVH feed,Watergum
-17,145.833333,1972-08-06T14:00:00Z,Cryptocarya oblata,f2b1953a-30ba-4e73-aaf0-ac4000235e62,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.883333,1975-10-27T14:00:00Z,Syzygium cormiflorum,902af512-96f3-4383-af92-6c5217e8ae3d,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-08-04T14:00:00Z,Cryptocarya pleurosperma,04a2e384-abc2-48c9-8e4c-cfdcde67bcf1,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,3b2f9096-3fa8-4465-b1c2-5cb2d26a2625,Centre for Australian National Biodiversity Research (CANB) AVH data,Watergum
-17,145.05,1957-09-01T14:00:00Z,Syzygium cormiflorum,88fc6901-d43f-47e1-b793-1fc0e0f2c107,Centre for Australian National Biodiversity Research (CANB) AVH data,Watergum
-17,145.583333,1975-03-24T14:00:00Z,Syzygium cormiflorum,8602fe6b-7cd9-42cd-87ea-9e13e2330f6f,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.883333,1975-10-27T14:00:00Z,Syzygium cormiflorum,75f8ac4e-124a-4f82-9ef8-09dc9e82189a,Centre for Australian National Biodiversity Research (CANB) AVH data,Watergum
-17,145.833333,2009-06-22T14:00:00Z,Cryptocarya pleurosperma,0ddcc04c-beff-4863-b150-fbbbc0ad9fe0,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,88a9d0bb-e7dd-4c22-a3af-42cdf342be1d,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.583333,1975-12-02T14:00:00Z,Syzygium cormiflorum,0c91aa03-e439-4d99-b8d3-45a87815a33f,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.816667,1982-03-09T14:00:00Z,Elaeocarpus bancroftii,c7014215-6fe0-4ddd-ac15-bbdea06f5e49,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,5e1373bc-3e1e-490d-8c9c-564b1ef1732e,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,9024766b-32ee-481b-be3e-08f2ccb2727e,Centre for Australian National Biodiversity Research (CANB) AVH data,Quandong
-17,145.583333,1972-10-31T14:00:00Z,Syzygium kuranda,3ae61844-fce6-465a-a441-564fc0b17db7,Australian Tropical Herbarium (CNS) AVH data,Cherry Penda
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,f519a9f9-5a9f-4a98-84b1-5b9162498583,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-12-21T14:00:00Z,Elaeocarpus bancroftii,d8270caf-8550-4fe9-bd75-f28987bbb19c,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1975-03-24T14:00:00Z,Syzygium cormiflorum,4952d291-f92c-4f95-b187-1216f3324001,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-10-28T14:00:00Z,Cryptocarya pleurosperma,96f9f41f-5408-453c-b7c5-330c3972edc4,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1981-12-21T14:00:00Z,Elaeocarpus bancroftii,cd4bc4ab-08c9-447c-afc6-1371e752d998,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1972-10-31T14:00:00Z,Syzygium kuranda,c8b3aa7b-dd13-487d-91f7-5eff68607f94,Australian Tropical Herbarium (CNS) AVH data,Cherry Penda
-17,145.583333,1975-12-02T14:00:00Z,Syzygium cormiflorum,6989b618-22e8-4cdc-ae07-950b455ed340,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-10-28T14:00:00Z,Elaeocarpus bancroftii,1da82102-0581-416e-9815-10dd21f01e82,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,84602d83-180e-4566-9b70-41e0ffdb31f4,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1975-12-21T14:00:00Z,Elaeocarpus bancroftii,415133f5-a5ab-4256-b3ce-f61fa9b6060c,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1975-12-21T14:00:00Z,Elaeocarpus bancroftii,3084f6a7-e5dc-48bf-b0a4-e391a3b418b3,Australian Tropical Herbarium (CNS) AVH data,Quandong
