"species","decimalLatitude","decimalLongitude"
"Pardalotus punctatus",-37.9068,146.3716
"Pardalotus punctatus",-37.4737,145.9285
"Pardalotus punctatus",-27.556757,149.867785
"Pardalotus punctatus",-37.5871,145.3029
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-33.782671,150.981901
"Pardalotus punctatus",-29.373411,153.126075
"Pardalotus punctatus",-38.0256,145.4056
"Pardalotus punctatus",-37.7063,148.8033
"Pardalotus punctatus",-28.560967,153.405939
"Pardalotus punctatus",-37.7615,148.7876
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-37.7927,148.7497
"Pardalotus punctatus",-35.45609,140.87467
"Pardalotus punctatus",-36.55266,144.345734
"Pardalotus punctatus",-37.9477,145.6622
"Pardalotus punctatus",-34.91802,138.9513
"Pardalotus punctatus",-37.5422,145.2495
"Pardalotus punctatus",-36.2458,146.6957
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-37.9568,146.3263
"Pardalotus punctatus",-37.4151,146.0378
"Pardalotus punctatus",-36.81486,140.0686
"Pardalotus punctatus",-37.4695,145.154
"Pardalotus punctatus",-37.6753,145.8032
"Pardalotus punctatus",-37.2226,144.0455
"Pardalotus punctatus",-37.6069,144.4506
"Pardalotus punctatus",-27.669237,152.967736
"Pardalotus punctatus",-36.879285,143.266069
"Pardalotus punctatus",-38.103,147.2128
"Pardalotus punctatus",-36.8896,144.2884
"Pardalotus punctatus",-36.8896,144.2884
"Pardalotus punctatus",-37.9014,146.3728
"Pardalotus punctatus",-37.6157,148.5144
"Pardalotus punctatus",-37.9004,146.3614
"Pardalotus punctatus",-28.386239,152.756097
"Pardalotus punctatus",-42.01308,147.8231
"Pardalotus punctatus",-38.2112,146.8476
"Pardalotus punctatus",-37.4111,145.8887
"Pardalotus punctatus",-37.4687,145.7839
"Pardalotus punctatus",-37.5397,145.2666
"Pardalotus punctatus",-38.246665,144.528739
"Pardalotus punctatus",-35.97897,137.33175
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.2404,148.6771
"Pardalotus punctatus",-35.8012,137.82388
"Pardalotus punctatus",-37.6636,145.2308
"Pardalotus punctatus",-37.5851,145.2248
"Pardalotus punctatus",-38.103,147.2128
"Pardalotus punctatus",-37.431815,145.434623
"Pardalotus punctatus",-38.14954,144.38035
"Pardalotus punctatus",-37.6685,145.2591
"Pardalotus punctatus",-37.3914,145.8077
"Pardalotus punctatus",-37.68768,145.5224
"Pardalotus punctatus",-37.565,144.735
"Pardalotus punctatus",-35.5827,142.047
"Pardalotus punctatus",-37.9901,145.1353
"Pardalotus punctatus",-37.6804,145.1522
"Pardalotus punctatus",-37.4045,145.9589
"Pardalotus punctatus",-34.2581,139.82372
"Pardalotus punctatus",-37.9477,145.6622
"Pardalotus punctatus",-43.02874,147.31464
"Pardalotus punctatus",-27.990068,153.176068
"Pardalotus punctatus",-37.6525,145.5394
"Pardalotus punctatus",-35.99118,137.03153
"Pardalotus punctatus",-37.4165,148.3714
"Pardalotus punctatus",-37.6037,145.2085
"Pardalotus punctatus",-33.92527,150.76941
"Pardalotus punctatus",-37.642,145.2359
"Pardalotus punctatus",-38.2568,144.5263
"Pardalotus punctatus",-28.560967,153.405939
